annual_revenue,net_profit,revenue_growth_yoy,profit_margin,documents_count,company_age,funding_rounds,risk_score
693382,1227099,0.209291901,-0.028145614,3,2,1,57.75716513
3501013,-769534,0.215491523,0.042248649,1,6,1,47.48049472
1129963,-465324,0.012255844,0.107046786,8,14,5,71.60722103
5249232,2044941,0.399392587,0.138643496,6,8,5,36.12807191
1303515,-2162,0.224959076,0.032453854,2,7,3,55.52102942
15400867,-105472,0.273160256,-0.123997919,8,1,0,55.82876952
1493669,-932683,0.334185972,0.116625623,6,5,3,52.12864216
2368905,1135398,0.097460505,-0.005422448,7,2,2,30.82255926
7374341,3593787,0.276816628,-0.061213716,1,6,6,48.52134454
954684,-1101299,0.187883069,-0.118262815,7,7,1,38.24963608
4103947,536329,0.321612493,0.13697866,3,14,4,37.77670712
12080978,2618330,-0.03526729,0.089003222,8,14,4,25.49541475
655082,380537,0.208108684,0.064204053,6,7,0,5
3931902,1178557,0.147661521,0.177231705,4,3,0,62.47077456
4239190,-1093590,0.271871554,0.124612728,8,7,4,47.76805065
7144281,1142460,0.276405302,0.193141003,9,5,0,15.82243205
948891,219283,0.135084893,-0.017491483,2,8,1,52.91878829
872871,1978594,0.134539136,0.077581456,6,12,2,62.82643887
5509263,2281079,0.206720156,-0.033169936,5,8,2,53.99801404
4399426,4384345,0.112402933,0.063943237,5,7,3,23.95051278
4199570,1369449,0.321038043,0.06259689,3,6,1,26.82414593
4622509,988694,0.175695136,0.123862955,8,2,6,30.13823173
1656098,791576,-0.128838586,0.083189472,8,6,0,55.49952651
4123668,-29749,0.175021353,0.1236385,5,13,0,48.62127747
4382248,1007725,0.095374741,0.129240809,8,12,6,90.22524919
1600215,56897,0.024246902,0.230845007,8,11,3,10.46406889
21120918,752691,0.071508803,0.057929234,3,9,3,39.05322994
5250495,2476396,0.233129017,0.014128411,2,2,0,5.300405332
993209,-1009813,0.379436899,0.097225853,9,1,0,50.73966229
6303109,2209817,0.257582137,0.023840398,2,11,6,59.20410314
1233440,2475672,0.147219593,0.183737254,9,13,1,65.9579101
7181972,322897,0.274708503,0.060174737,4,5,6,43.39339767
10413312,-2682782,0.164909163,0.040409654,2,11,3,5.560431323
1438796,-411732,0.136647956,0.0470079,1,6,6,39.09732573
8566554,2445491,0.08147648,0.13028922,4,3,6,47.86221809
4939530,465697,0.009780543,0.068957711,9,8,6,21.90736742
7437610,-998953,0.173209155,0.035083323,9,7,1,35.23038406
21786323,-257162,0.238966419,0.196574634,4,2,5,17.01310658
2557681,1760930,0.20840516,0.020068111,9,12,0,28.97131847
1538415,1320100,0.170083969,0.082489625,6,7,4,56.42439825
1343092,141601,0.106510473,0.125661431,1,1,6,52.24293304
1445823,-50236,0.292989543,-0.034193458,6,9,4,14.88604883
3026442,-87637,0.06194417,0.113618235,9,13,5,27.31026734
4598091,-883615,0.31312335,0.006142463,2,7,0,41.02765573
4311044,2923063,0.099733958,0.137594795,6,6,3,44.07743773
7475811,16519,0.129707772,0.012614429,2,13,4,28.06787638
3311798,2325737,0.043985777,0.128493832,4,2,3,48.57623416
13985534,2781974,0.159831742,0.157408315,8,3,4,39.36492003
2508870,1997466,0.337037495,0.140300557,7,1,3,5
49633132,-147430,0.281875371,0.097592165,9,10,6,29.70993411
6111405,1105595,0.337410653,0.063808934,7,13,4,29.19593686
1387261,463706,0.282657106,0.03965063,1,5,3,52.20892661
1120300,-855552,0.087559621,0.182972428,2,9,5,52.52906627
5296053,986538,0.180305293,0.031035335,6,13,1,9.902150123
2614379,-1268559,0.126376105,0.007405375,7,6,3,47.89249163
6675805,2281519,0.379668988,0.126575825,3,5,1,38.66865078
5247370,-196925,0.076385362,0.024270424,9,12,1,42.27563935
3039401,801739,0.327243723,0.013495555,7,3,0,28.95111366
1401713,924931,0.327154464,-0.021052298,6,5,6,38.88706139
718666,111642,0.439554424,0.046196311,6,8,5,60.70588281
2091694,1380040,0.170837609,0.074209948,1,12,1,42.01934366
7697443,-212355,0.305478659,0.097016421,5,2,2,39.2363193
4049458,1806945,0.49379822,0.146591437,3,5,6,31.37433926
940588,-1518969,0.145882999,0.116882855,7,6,1,58.94060681
3887127,689569,0.03579517,0.066638945,3,10,3,16.9458193
4805719,3408393,-0.005601204,0.066126303,5,8,1,25.56454717
1350712,-1000496,0.305525443,0.115711023,7,8,3,15.91219513
3812230,-516617,-0.005978025,0.169079911,3,5,3,43.61233315
3464949,1270861,0.175321714,0.088841994,2,9,2,61.23545692
1042393,769372,0.272477582,0.04716084,6,4,1,34.08168248
4675222,1025945,0.242221064,0.01049938,8,12,1,20.75070037
5727470,1233780,0.271053384,-0.021164369,4,9,4,69.45603671
9655625,1452082,0.246674783,0.126638877,9,11,6,48.1230952
9377296,2164549,0.373463898,0.120458497,8,7,4,44.99543459
824333,1114727,0.105722034,0.120415447,7,6,0,36.57656844
1279749,138113,0.138760583,0.070993839,7,4,3,52.04225509
5471346,1508860,0.127280867,0.178485432,3,2,2,44.71340016
5464515,3349822,0.319623017,0.046111705,6,8,4,31.33716829
5471414,301049,0.328047831,0.146868847,5,6,1,34.35155272
154041328,-961793,0.274147038,0.077287997,1,12,0,21.64203758
5785645,2160621,0.36201924,0.037415446,3,3,2,19.39782662
10176234,319428,0.078635096,0.121477122,1,7,5,34.66026049
8486623,-2759004,0.420066893,0.108674528,4,10,1,60.77586806
6270654,1771132,0.402788635,0.104988093,3,7,1,21.38506218
2385050,-302992,0.30827464,0.08568949,4,6,5,55.05466053
6982860,364200,0.433815869,0.077347484,9,2,3,25.61917263
1509327,997970,0.021205215,0.24718604,3,8,3,7.841144691
2579694,785749,0.157066224,0.162897965,6,1,4,49.83879565
2011993,1564177,0.131763585,0.130597883,6,13,4,69.31782558
3547927,-153229,0.306577519,0.087825941,7,1,1,24.59676856
33087249,1269658,0.093983111,0.150501004,9,6,6,11.74232364
505212,110679,0.310899418,0.116259634,7,5,1,48.18846552
6493162,1608215,0.384464337,0.081834333,1,9,4,23.38286448
651663,1423051,0.303424348,0.058750497,8,13,5,49.65963841
2039200,-903158,0.254050123,0.074335786,5,12,4,60.7266327
9712755,2128973,0.101455199,-0.141929802,9,7,1,45.95111492
3486050,-303945,0.118377884,0.094742059,5,2,2,54.57582955
1112650,1712086,0.369954269,0.045806674,5,13,1,54.69901877
1598691,1050930,0.31352188,0.1914869,2,12,2,57.81904082
6450045,3257275,0.215317658,0.081354085,3,7,2,40.81379382
1574791,164801,0.169850855,-0.003227439,9,3,1,54.02337569
4059046,-23975,-0.023096945,0.076508389,7,1,6,42.95923143
3421439,470870,0.09149771,0.006771524,1,11,6,47.04376309
1703847,45230,0.44937029,0.113138519,3,8,0,94.93080376
27894611,1699912,0.066345331,0.100366316,2,14,4,44.34880942
6162043,-1924465,0.242737579,0.147048774,1,12,6,13.04032121
431428,-1080523,0.340893277,0.024638275,9,3,3,36.4464548
3939066,-1101704,0.06940928,0.082380567,8,11,1,34.4105364
1686580,1925461,0.242165257,-0.015551526,5,8,2,35.23371517
7666979,3065920,0.332549865,0.129104635,2,7,1,57.16196367
1479891,343326,0.221499919,0.116320983,1,12,4,60.35064516
2914659,246767,0.564208367,0.114706351,7,2,5,38.09856563
5416645,605078,0.019768089,0.080113332,2,13,6,14.94626173
7769801,2242817,0.347047424,0.109034102,1,14,6,41.78372035
984317,-891029,0.199263792,0.192303738,2,14,6,30.21900264
2339619,857553,0.312630419,0.060043402,7,1,2,43.78728485
2033064,1962796,0.272956858,0.089705163,7,7,3,37.82268594
1700904,1251641,0.132021256,0.003971159,6,13,3,61.89443713
19104877,784372,0.247479567,0.019221733,5,1,6,44.94654484
4901156,2001569,-0.002948174,0.086846931,3,6,3,30.2765504
926450,-3554848,0.2923897,0.157275348,3,13,5,15.06041955
8185394,1516812,0.255779016,0.062060342,9,11,6,39.13574505
27293419,-481113,0.29663922,0.063485843,4,10,0,39.20012763
9179334,-2245949,0.346974199,0.051518033,9,11,2,35.27570652
715423,1266803,0.264114381,0.042567033,4,10,5,53.95582753
2014267,2560487,0.23777073,0.100648002,2,8,2,15.10998716
11604588,293827,0.1142718,-0.024808035,4,7,6,26.27420686
1610943,1929311,0.134533508,0.16966577,6,4,5,40.95251679
5095250,2918417,0.362408154,0.033420439,6,1,6,29.92885206
7093107,2472371,0.392360249,0.130533244,5,1,5,33.57923371
1293768,2959946,0.191426748,-0.008899902,1,4,6,38.91547538
3080106,1613191,0.22552033,0.126818809,3,5,0,52.3473688
127865,613150,0.111446275,0.127036123,5,12,2,38.18967424
1173630,-1902948,0.360730821,0.106894145,6,7,5,5
2539383,130906,0.299850019,0.010390003,1,14,0,29.14965384
938667,-764869,0.452946092,0.097468373,9,4,1,48.92411696
16724935,3756414,0.114601231,-0.002813933,3,10,6,53.7281255
782194,236171,0.174639052,0.062306572,3,14,4,54.72144181
2105272,684807,0.247773511,0.152058917,2,12,5,59.82119806
3725607,1327228,0.297578745,0.135769135,8,1,3,42.13187099
13815107,565403,0.194119883,0.081062806,3,11,0,44.73696966
777732,3042576,0.115244669,0.01176354,6,10,0,21.74964617
10460990,-433974,0.325768903,0.12519114,2,7,5,5
3302641,791911,0.306536244,0.081356687,7,2,0,14.4835135
1225048,-613705,0.110047108,-0.082422092,4,13,1,27.36692407
5189269,-1480033,0.382653136,0.134784088,9,11,0,15.52531808
3989034,-417653,0.360423845,0.078303702,9,2,4,34.72731508
1793685,444444,0.23611558,0.164171587,7,8,4,31.68241131
3505354,-143953,0.229551743,0.003331064,8,12,6,56.88088625
2223707,-538631,0.286486933,-0.142369267,3,10,6,22.55554322
3661990,-1609476,0.116595632,0.09953587,5,10,3,42.53047451
6338360,375341,0.223603777,0.100409457,2,10,1,32.44418152
15966715,-1757080,-0.038286025,-0.038347014,7,5,4,21.88158581
948070,1640083,0.325174677,0.011505032,8,10,5,26.90119383
27591915,623659,0.032620813,0.272865242,9,2,2,5
464126,-1686327,0.400410379,0.058607257,7,5,2,53.47024288
2808651,36186,0.180385589,0.131167128,8,8,2,65.24070257
5887353,-628234,0.194599962,0.034453812,9,6,6,35.18560989
4329626,978761,0.144671931,-0.066321203,6,3,5,40.52311757
1753808,2510675,0.185435335,0.068081923,2,8,0,34.67455887
2654794,-2312758,0.390223761,0.061407681,2,14,5,25.23835693
1996685,672539,-0.078537039,0.052008523,4,9,0,52.68825148
1813257,259800,0.373235846,0.071975142,9,5,2,45.74322985
7645303,1507010,0.260562818,0.098498779,7,13,3,5
4671615,819794,0.075157402,0.069491813,2,2,3,21.37700655
1634897,-627953,0.090962513,-0.008480432,8,2,0,5
8037268,21419,0.421167163,0.114032935,7,7,2,67.99745822
4445040,-694038,0.106539174,-0.056456023,9,1,5,36.9070821
7369512,2114010,0.081597939,-0.063525022,8,10,3,44.33262811
6135663,531967,0.356477745,0.131742635,3,12,0,33.64068757
1426885,3351786,0.260626345,0.115491419,1,2,5,59.84854107
1866954,409008,0.107448931,0.075982324,2,10,2,55.49269311
6901805,-562610,0.245994997,-0.017681395,2,4,1,36.12137471
6018630,-1770571,0.096909678,0.030446234,4,1,2,70.923875
3201398,-2204709,0.352098568,0.061607728,6,4,6,43.33572656
3675969,-1876203,0.347364516,-0.031712578,4,13,2,13.71774865
11730054,900689,0.283840744,0.028267994,9,12,5,41.80033728
1809260,1263087,0.263399327,0.125663124,4,11,5,49.31393184
5649611,-1871786,0.431342575,0.179911376,6,13,4,37.60195445
2670582,1842557,0.219962359,0.050639567,6,10,4,32.59330519
2629538,-224591,0.078175105,0.132954185,1,5,5,71.75850369
9808666,720189,0.27393687,-0.053984205,8,9,5,18.65447574
7462614,2918330,0.470325646,0.126161587,3,1,1,5
7374285,1845258,0.098228861,0.023723611,6,12,1,69.14297256
12060893,97204,0.176624468,0.101514193,3,5,2,17.93114687
3338405,-836788,0.269973525,0.062657331,2,2,6,34.84087531
6465254,-2727723,0.213531418,0.172428981,5,9,3,33.20622121
2397011,-578729,0.10212357,0.018789505,1,6,6,62.17147283
4520650,183304,0.354622943,0.123932441,9,2,1,65.82741483
2870098,-980769,0.498404887,0.060434478,7,14,2,16.73724183
3601986,303114,0.243535775,0.068918617,3,3,6,64.42437331
5927760,615277,0.111511805,0.067130227,4,14,0,64.09138569
1442342,162716,0.034124737,0.020802883,6,8,4,40.34838894
26492898,-475003,0.250957118,0.079013072,3,1,6,56.785766
1195389,752982,0.352465281,0.075614624,7,12,3,58.59093917
970737,1162910,0.27702013,0.096886817,6,3,2,35.45629868
10408266,-1135598,0.219711539,0.08591536,9,13,6,37.16380196
7214927,2616398,0.149287402,0.135859618,5,10,5,50.60790485
6101955,352117,0.088940364,0.144645603,4,1,0,10.6865506
6127794,528274,0.320170159,0.006456367,3,11,4,33.63148
3229226,1562321,0.329652595,0.140814075,1,11,0,18.39354257
1332737,849824,0.034512426,-0.00304355,3,8,2,65.62440765
3526458,1929704,0.410780677,0.121149912,3,1,1,33.41951276
1660847,930686,0.288888547,0.123381715,7,13,4,44.97472702
8667749,-418656,0.387951357,-0.053792182,7,5,0,36.06858515
2821961,1042255,0.05894467,0.086508547,1,4,1,34.89728646
1431885,-1215589,0.056101101,0.047205272,3,7,3,43.79739318
2370506,662839,0.202123683,0.026886432,8,14,2,26.84841403
4940274,450155,0.280334131,0.174559663,9,5,2,36.42731767
1860350,187824,0.435563299,0.03424246,7,8,4,36.29482605
1436585,307193,0.30472947,0.023553615,7,12,0,32.3821246
4171086,-2322773,0.190878247,0.085298646,8,14,3,47.03902434
4176426,-323087,0.096835695,0.127991282,6,11,5,31.95407322
1969040,639267,0.367600069,0.070084599,3,1,4,69.00006968
2041022,739784,0.104235349,0.161645938,1,5,5,51.32135394
4122828,-1041512,0.415416227,0.117168296,7,4,4,15.71241901
768284,2398561,0.185873842,-0.072474792,1,3,0,49.91580299
800135,-799262,0.410869849,0.042937313,1,5,3,27.58936544
1593679,1954185,0.301471755,0.040671053,9,10,0,42.44242316
2640695,1140791,0.203560541,0.113555267,7,3,2,26.83848207
4461107,-469340,0.157672435,-0.103737194,4,8,5,5
14294082,3162966,0.179091055,0.25843068,6,13,1,39.60879713
7707154,-1290455,0.271398003,0.117171827,1,3,6,14.18051634
2785844,1878731,0.22925878,0.090421376,7,1,2,47.554877
3207440,2000873,0.148742631,0.16270974,6,9,2,43.14612686
1199566,-505930,0.200124231,0.244055784,4,9,5,29.13007821
3209054,2588697,0.229429244,0.140952265,7,6,4,72.85966668
2449369,124930,-0.035448091,0.146416917,3,10,2,17.69282559
4514109,933040,0.274980174,0.089148302,1,1,6,28.76192228
1429405,890482,0.102433453,0.070093197,4,8,3,19.82755152
5494985,298536,0.081600112,0.046694319,3,2,2,76.74368858
15138306,1716212,0.017518678,0.022172161,1,9,3,64.34039455
2932130,1690233,0.0047329,0.031909013,2,14,0,14.40180644
4885155,-2122797,0.0573463,-0.014538918,5,8,4,25.13954125
6518429,2456510,0.134917485,0.074688998,8,3,3,25.75014415
2188615,-1993737,0.454391097,-0.03792673,1,13,2,30.08691368
4090151,2048819,0.156894439,0.093364157,4,5,4,21.22994823
3310442,2190057,0.241330013,0.077456857,4,9,6,29.09648133
3604436,-1136449,0.268057766,0.090285471,5,13,4,58.08770084
1509049,-116221,0.235727822,0.04345079,7,1,3,75.04442205
3350131,-1158557,0.210706785,0.295380226,8,9,3,12.20083278
5378920,177618,0.076564748,0.175208113,6,4,1,21.26007178
13952142,37948,0.394111306,-0.007117975,1,4,1,43.84407
8531457,1669490,0.436863597,0.096300766,7,4,4,11.55449849
28153506,2465463,0.018080957,0.03743957,3,10,5,44.30977639
1517617,2593525,0.097116569,0.008986419,6,12,5,49.72185017
7820981,-343252,0.186422759,-0.013805045,8,9,1,52.6117459
3926825,186167,0.104255465,0.110255168,7,14,2,49.21860148
29203611,-2025157,0.280715866,0.032303384,6,6,0,30.36552615
1456725,-708805,0.132607336,0.147747822,9,11,4,36.72994789
1411661,1947277,0.479806728,0.149564755,9,8,0,18.76850345
1795164,2923374,0.362865831,0.176174007,1,12,1,48.35809578
390859,-1351523,0.245508884,0.020332926,1,14,3,68.86048481
1932345,-388696,0.343238352,0.113275593,1,4,6,48.31961618
1530136,460391,0.352708051,0.124271795,8,3,4,27.48998676
3799552,920241,0.152326301,0.046807528,7,14,1,57.90625335
4600870,-714405,0.122053931,0.025975963,3,1,2,82.58164051
21341643,1136091,0.229377168,0.192666447,2,10,6,44.37669589
8456313,-210759,0.323396335,0.095924711,4,7,4,49.98051119
1835993,478321,0.236687248,0.124517743,3,4,4,52.19861969
1331191,1319426,0.030760422,0.022454679,7,14,5,11.11976921
5346320,509633,0.123661067,-0.005349913,8,8,3,32.59980089
873066,-154578,0.211123256,0.040138516,6,14,4,30.75040441
20408433,335585,0.210920127,0.071318503,3,3,3,55.02759968
10632651,367455,0.456705061,0.0055046,6,1,1,52.93064754
2044828,-55016,0.053681447,0.079310863,2,5,2,37.82673863
589403,111805,0.280670709,-0.038195363,7,14,6,29.67019494
12658916,2897970,0.398693573,0.00159668,7,2,6,9.641272725
2915232,1341379,0.492573969,0.126963787,4,3,2,39.72257449
11271819,56779,0.171472309,0.122265336,8,14,4,22.81777393
663691,1545431,0.278971534,0.052568626,4,6,4,20.58697589
1795196,-729,0.288371243,0.008756498,7,3,1,56.67283775
3286204,2259686,0.243457808,0.008081751,4,3,5,54.79455631
3426262,1054463,0.208138576,0.053871223,5,12,5,31.20530515
2084281,339046,0.272317047,0.125116294,7,6,5,11.75720294
6094211,1171575,-0.08386953,0.144977198,3,5,3,25.13539156
1123972,-1856314,0.301848339,0.045242779,5,10,5,57.8785713
2835192,-1190151,0.235141348,-0.00074447,3,9,2,48.41893511
3686896,-1290887,0.193303012,0.098749055,5,1,6,31.50751365
5468083,714414,0.465623463,0.022352552,3,13,6,41.05755718
6659899,3098772,0.139007918,0.043722315,7,3,3,5
1061674,3846950,0.171630881,0.172769326,1,3,1,5
704952,1457076,0.458986396,0.13789808,9,11,2,75.58827737
11730194,1251266,0.120152643,0.091058202,9,6,6,49.11747193
4557633,-2201586,0.153986166,-0.00903433,5,8,2,40.02991716
1546513,-314010,0.202356949,0.09479776,9,3,6,32.85478869
15419630,-681675,0.320888138,0.15438601,6,3,0,8.286988188
3669898,-431271,0.244936301,0.053705643,5,6,1,57.87785429
10631131,247784,0.064884958,0.174577986,3,8,1,19.53600226
3497358,-208135,0.156139772,0.17049217,8,6,0,52.67528762
25667802,-2468949,0.147117468,0.196461298,4,13,3,42.37601378
18912636,1621865,0.210733475,0.101367019,3,12,6,39.06229965
2548551,-1109114,0.271101239,0.121117419,6,14,6,16.55740626
8637043,858870,0.270184691,0.17899311,8,10,6,16.79709992
6233047,3611124,0.00687859,0.111317576,9,3,5,47.01881895
12847137,-879076,0.347672919,0.044913612,6,4,5,41.42590284
1245536,-3295431,0.250308262,0.048602001,5,1,5,40.84900732
6491806,70993,0.386143846,0.096698847,2,13,5,45.14874867
9420742,2151439,0.273303799,-0.0103393,2,8,5,5.138617178
563127,3437521,0.352158755,0.069971876,9,4,0,58.27258912
1001231,-1344324,0.275985437,0.156758298,2,6,1,33.59380467
425392,1245048,0.381547091,-0.07338777,2,11,3,61.0536104
2496981,-197965,0.282670076,0.187413747,3,3,2,5
6699491,341077,0.20825017,0.158566195,3,11,5,50.2424681
14685292,4466515,0.492692166,0.047816477,4,12,0,50.07242736
3520433,-1754455,0.326684455,0.118037358,7,11,6,13.24961188
16661571,880609,0.288849331,0.080220341,9,6,3,28.49338988
822331,1201539,0.06684347,0.166099326,2,12,3,20.92888487
