company_id,company_name,country,industry,founded_year,company_age_years,stage,report_year,annual_revenue,gross_profit,net_profit,ebitda,revenue_growth_yoy,profit_margin,current_ratio,debt_equity_ratio,cash_balance,burn_rate_monthly,runway_months,previous_rounds,total_raised,last_round_amount,founder_ownership_pct,founder_experience_years,num_founders,has_board,has_audited_financials,monthly_active_users,monthly_revenue,customer_count,churn_rate,contracts_value,patents_count,financials_complete,documents_uploaded_count,fraud_flags,market_growth_pct,competition_index,country_risk_score,previous_disbursements_count,last_onchain_tx_age_days,onchain_event_count,team_changes_last_year,founder_criminal_flag,kyc_verified,investor_interest_score,success_count,failure_count,success_rate_pct,label_default_12m
C100050,Company_51,Nigeria,Dairy,2014,11,series_a,2025,128.27,3.35,18.98,3.35,-0.009,0.148,2.49,0.827,56.41,100.0,0.56,0,0.0,0.0,31.94,32,2,1,1,506,10.69,45,0.034,58.63,0,1,6,0,0.117,0.245,0.193,2,47,0,3,0,1,0.528,2,0,75.0,0
C100051,Company_52,Kenya,Healthcare,2002,23,series_a,2025,12.42,0.89,-1.0,0.89,0.222,-0.08,2.51,0.836,1.41,100.0,0.01,0,0.0,0.0,33.82,7,2,0,0,525,1.04,41,0.055,5.71,0,1,3,0,0.139,0.155,0.552,7,258,5,3,0,1,0.342,2,0,75.0,0
C100052,Company_53,Kenya,Energy,2001,24,seed,2025,10.35,1.66,-0.91,1.66,0.054,-0.088,2.77,0.964,2.52,100.0,0.03,3,393973.21,13169.15,18.75,17,3,0,0,500,0.86,52,0.055,0.45,0,0,7,0,-0.046,0.66,0.114,6,289,1,1,0,1,0.276,1,4,53.33,0
C100053,Company_54,UK,Energy,2003,22,seed,2025,7.69,1.37,0.89,1.37,0.355,0.116,1.44,2.892,0.41,100.0,0.0,1,128378.82,70681.85,37.06,10,3,1,1,475,0.64,54,0.013,0.49,0,1,2,0,0.08,0.135,0.466,3,30,1,0,0,1,0.163,2,1,69.23,0
C100054,Company_55,Bangladesh,E-commerce,2020,5,seed,2025,15.62,0.27,0.49,0.27,0.689,0.032,0.61,2.001,6.46,100.0,0.06,1,139168.67,24947.0,47.61,38,4,0,0,525,1.3,66,0.023,8.49,0,1,3,0,0.14,0.285,0.069,7,91,1,3,0,1,0.222,2,0,75.0,0
C100055,Company_56,Bangladesh,Retail,2008,17,seed,2025,23.18,3.85,0.44,3.85,-0.366,0.019,1.02,0.457,10.45,100.0,0.1,2,33289.43,67492.59,8.35,4,2,0,0,502,1.93,53,0.059,10.8,0,1,0,0,0.047,0.112,0.3,3,320,0,3,0,1,0.298,3,2,66.67,0
C100056,Company_57,Germany,Energy,2025,0,series_a,2025,15.84,2.56,-1.43,2.56,0.167,-0.09,1.65,1.64,3.52,100.0,0.04,0,0.0,0.0,7.43,33,1,1,0,527,1.32,68,0.06,4.15,0,0,2,0,0.103,0.237,0.274,2,244,1,1,0,1,0.096,2,1,69.23,0
C100057,Company_58,Germany,Manufacturing,2010,15,growth,2025,26.7,4.32,-4.85,4.32,0.118,-0.182,2.52,0.761,3.48,100.0,0.03,1,180769.7,16226.9,17.1,27,2,0,1,518,2.23,48,0.046,14.71,0,1,0,0,-0.005,0.408,0.601,5,353,4,0,0,1,0.406,1,2,61.54,0
C100058,Company_59,UK,AgTech,2014,11,seed,2025,5.33,0.32,-0.52,0.32,0.164,-0.098,1.98,0.098,1.71,100.0,0.02,0,0.0,0.0,44.27,24,3,0,1,525,0.44,54,0.028,2.8,0,1,6,0,0.101,0.189,0.162,7,102,5,4,0,1,0.102,1,2,61.54,0
C100059,Company_60,Brazil,Energy,2014,11,growth,2025,52.16,10.27,6.4,10.27,-0.079,0.123,1.98,1.983,2.53,100.0,0.03,1,157223.18,58793.51,3.76,11,4,0,0,444,4.35,52,0.091,22.36,0,1,4,0,0.153,0.455,0.26,4,125,0,0,0,1,0.17,2,1,69.23,0
C100060,Company_61,Canada,E-commerce,2003,22,mature,2025,29.91,0.07,4.06,0.07,0.079,0.136,2.26,2.911,6.71,100.0,0.07,2,387143.76,6115.2,9.45,1,1,0,0,515,2.49,42,0.088,2.36,0,1,1,0,0.135,0.26,0.169,6,113,2,2,0,1,0.226,1,2,61.54,0
C100061,Company_62,Brazil,Software,2004,21,series_a,2025,4.88,0.2,-0.84,0.2,0.149,-0.171,2.46,2.2,0.33,100.0,0.0,3,565644.38,91558.38,34.03,8,2,0,0,497,0.41,39,0.018,2.87,0,1,0,0,0.125,0.561,0.146,1,165,5,1,0,1,0.168,3,1,71.43,0
C100062,Company_63,Kenya,Fintech,2003,22,seed,2025,190.11,35.7,-21.82,35.7,-0.193,-0.115,0.52,2.317,60.14,100.0,0.6,0,0.0,0.0,45.79,7,1,0,0,503,15.84,44,0.091,24.49,0,1,5,0,0.115,0.152,0.081,1,247,3,0,0,1,0.381,0,1,63.64,0
C100063,Company_64,Canada,Manufacturing,2000,25,series_a,2025,4.12,0.07,0.28,0.07,0.25,0.069,2.83,1.633,0.45,100.0,0.0,2,36698.9,37740.18,23.86,9,1,0,1,505,0.34,45,0.044,2.21,0,0,0,0,0.13,0.228,0.503,7,138,1,0,0,1,0.517,0,0,70.0,0
C100064,Company_65,Canada,Healthcare,2024,1,growth,2025,16.33,0.23,-2.22,0.23,-0.048,-0.136,0.96,1.993,7.22,100.0,0.07,1,61391.55,31670.88,6.88,27,4,0,1,503,1.36,55,0.026,2.12,0,1,6,0,0.086,0.218,0.312,5,117,4,1,0,0,0.113,1,3,57.14,0
C100065,Company_66,Kenya,AgTech,2021,4,growth,2025,38.6,0.15,-6.43,0.15,-0.113,-0.167,0.76,0.667,10.21,100.0,0.1,0,0.0,0.0,74.75,19,2,0,1,507,3.22,48,0.043,12.53,0,1,1,0,0.154,0.155,0.039,4,294,1,0,0,0,0.169,1,1,66.67,0
C100066,Company_67,Germany,Fintech,2015,10,mature,2025,139.32,23.5,17.91,23.5,0.14,0.129,1.71,1.001,55.43,100.0,0.55,0,0.0,0.0,9.23,3,3,0,0,460,11.61,43,0.006,45.29,0,1,3,0,0.127,0.196,0.307,1,220,2,2,0,1,0.213,0,0,70.0,0
C100067,Company_68,USA,Manufacturing,2016,9,series_a,2025,51.59,6.52,-2.62,6.52,0.131,-0.051,1.57,1.644,13.69,100.0,0.14,2,90824.5,71610.35,20.83,7,4,0,0,478,4.3,56,0.009,20.25,0,1,3,0,0.087,0.531,0.107,1,93,5,3,0,1,0.198,1,1,66.67,0
C100068,Company_69,Germany,Dairy,2002,23,seed,2025,26.16,1.41,-1.84,1.41,0.266,-0.07,0.98,2.084,3.06,100.0,0.03,0,0.0,0.0,24.89,4,4,0,0,518,2.18,38,0.03,0.49,0,0,6,0,-0.018,0.338,0.374,5,186,4,4,0,1,0.2,1,2,61.54,0
C100069,Company_70,Philippines,Software,2015,10,mature,2025,22.08,0.07,-1.66,0.07,-0.21,-0.075,0.83,1.535,0.28,100.0,0.0,1,81165.75,7863.5,29.01,29,3,0,0,516,1.84,41,0.076,7.54,0,0,6,0,0.098,0.021,0.354,6,181,1,2,0,1,0.062,0,2,58.33,0
C100070,Company_71,Philippines,E-commerce,2021,4,growth,2025,8.77,0.11,1.57,0.11,0.771,0.179,2.21,0.075,0.82,100.0,0.01,1,182491.54,64264.18,29.66,26,2,0,0,531,0.73,58,0.029,0.5,0,0,2,0,0.065,0.16,0.244,6,154,4,0,0,1,0.165,3,2,66.67,0
C100071,Company_72,Kenya,Healthcare,2005,20,growth,2025,16.24,0.24,2.87,0.24,0.47,0.177,2.96,0.498,1.07,100.0,0.01,0,0.0,0.0,63.56,29,2,0,1,491,1.35,56,0.107,9.61,0,0,7,0,0.078,0.088,0.444,7,315,5,0,0,0,0.183,1,1,66.67,0
C100072,Company_73,Kenya,Fintech,2009,16,series_a,2025,39.89,7.89,5.43,7.89,-0.478,0.136,2.72,1.114,4.21,100.0,0.04,1,99220.27,83984.81,42.47,7,1,1,0,528,3.32,46,0.005,4.7,0,0,0,0,0.097,0.173,0.158,4,159,2,3,0,0,0.219,2,2,64.29,0
C100073,Company_74,Brazil,Energy,2004,21,series_a,2025,56.33,7.58,-7.32,7.58,-0.105,-0.13,2.69,0.749,7.83,100.0,0.08,3,103948.41,46374.04,32.32,15,1,0,0,465,4.69,62,0.014,9.85,0,1,7,0,0.117,0.407,0.355,2,93,4,0,0,0,0.072,0,1,63.64,0
C100074,Company_75,Kenya,AgTech,2000,25,growth,2025,62.9,4.23,-7.16,4.23,0.327,-0.114,1.66,2.32,28.83,100.0,0.29,3,47482.14,57278.02,52.22,31,1,0,0,480,5.24,63,0.076,16.27,0,0,7,0,0.039,0.122,0.255,0,5,2,3,0,1,0.187,2,2,64.29,0
C100075,Company_76,Germany,Energy,2011,14,seed,2025,6.3,0.47,-0.79,0.47,-0.229,-0.126,2.92,1.34,1.61,100.0,0.02,1,151479.54,75632.94,25.77,10,3,0,0,535,0.53,56,0.035,0.03,0,0,3,0,0.06,0.394,0.484,1,157,2,1,0,0,0.134,1,1,66.67,0
C100076,Company_77,Philippines,Healthcare,2005,20,series_a,2025,20.39,2.69,1.9,2.69,0.315,0.093,2.83,2.463,5.86,100.0,0.06,1,68724.97,2070.3,33.21,11,1,0,0,520,1.7,37,0.029,2.77,0,1,2,0,0.038,0.424,0.129,6,219,1,0,0,0,0.136,2,2,64.29,0
C100077,Company_78,USA,Software,2021,4,mature,2025,61.09,1.03,-7.11,1.03,-0.356,-0.116,2.6,0.664,12.02,100.0,0.12,1,94529.18,31025.3,26.29,35,4,0,0,512,5.09,48,0.122,24.06,0,0,1,0,0.107,0.301,0.152,3,99,2,1,0,1,0.14,1,0,72.73,0
C100078,Company_79,USA,Energy,2015,10,mature,2025,19.82,0.12,0.45,0.12,-0.183,0.023,2.77,0.469,2.34,100.0,0.02,1,66950.47,96898.79,1.12,31,1,0,0,488,1.65,34,0.056,3.4,0,0,5,0,0.03,0.175,0.326,5,121,4,3,0,1,0.283,1,2,61.54,0
C100079,Company_80,Germany,Logistics,2004,21,series_a,2025,40.93,6.72,5.85,6.72,-0.222,0.143,1.46,1.858,9.52,100.0,0.1,1,94631.91,43667.41,24.18,9,3,0,1,457,3.41,48,0.011,22.52,0,1,0,0,0.064,0.186,0.216,2,10,4,4,0,1,0.49,0,1,63.64,0
C100080,Company_81,Philippines,Software,2015,10,growth,2025,30.05,2.39,1.06,2.39,0.089,0.035,2.93,1.633,4.35,100.0,0.04,0,0.0,0.0,68.67,12,1,0,0,524,2.5,44,0.014,6.09,0,1,3,0,0.035,0.191,0.271,6,274,4,1,0,1,0.151,0,2,58.33,0
C100081,Company_82,Germany,Software,2010,15,seed,2025,55.68,2.89,3.15,2.89,-0.201,0.057,1.53,0.722,18.9,100.0,0.19,2,70963.62,74057.14,20.85,37,2,0,0,511,4.64,53,0.018,28.94,0,1,2,0,-0.004,0.035,0.762,4,3,1,1,0,1,0.163,0,5,46.67,0
C100082,Company_83,USA,AgTech,2002,23,growth,2025,80.95,11.05,3.34,11.05,0.607,0.041,1.94,1.287,11.75,100.0,0.12,0,0.0,0.0,13.13,13,4,0,0,517,6.75,36,0.074,2.19,0,1,0,0,0.096,0.035,0.393,1,320,2,3,0,1,0.104,2,0,75.0,0
